ecut_ha,ecut_ev,energy_ha,npw,wavefunction_npts,density_npts,density_ecut_ha,iterations,energy_residual_ha,density_residual,time_s,backend
20,544.22772492,-20.975913977410,4337,21,42,80.00000000,24,1.208937305819e-08,7.900667412878e-07,50.767227,cupy
40,1088.45544984,-21.515690110417,12053,30,60,160.00000000,24,1.086765877290e-08,8.703434768965e-07,64.452797,cupy
60,1632.68317476,-21.641427330579,22119,35,70,240.00000000,24,1.130923976689e-08,8.812351247385e-07,80.426579,cupy
80,2176.91089968,-21.674918192805,34265,42,81,320.00000000,24,1.262112547806e-08,8.823408990034e-07,76.914198,cupy
100,2721.13862460,-21.684014802260,47833,45,96,400.00000000,24,1.374064240167e-08,8.820323425172e-07,78.650116,cupy
120,3265.36634952,-21.686597226759,62669,49,99,480.00000000,24,1.411540750951e-08,8.819365398494e-07,89.748090,cupy
