008 |   -22.382854 Ht | 0.3259 s
016 |   -31.606769 Ht | 2.0573 s
024 |   -35.774112 Ht | 8.7413 s
032 |   -37.744454 Ht | 24.7616 s
040 |   -38.725063 Ht | 134.0769 s
048 |   -39.247337 Ht | 374.6353 s
056 |   -39.549664 Ht | 802.8000 s
064 |   -39.739025 Ht | 1587.2069 s
