008 |   -22.382854 Ht | 0.2937 s
016 |   -31.606769 Ht | 2.1742 s
024 |   -35.774112 Ht | 9.7634 s
032 |   -37.744454 Ht | 34.5907 s
040 |   -38.725063 Ht | 161.4844 s
048 |   -39.247337 Ht | 463.0814 s
056 |   -39.549664 Ht | 954.4728 s
064 |   -39.739025 Ht | 1781.8789 s
072 |   -39.866006 Ht | 3131.7385 s
